Hour,Hour_Number,Time_Range,Sample_Count,Mean_Queue_Time,Median_Queue_Time,Std_Queue_Time,Q1_Queue_Time,Q3_Queue_Time,Mean_Active_Drivers,Std_Active_Drivers
T1,1,00:00-01:00,0,0.0,0.0,0.0,0.0,0.0,22.1,9.93931587182941
T2,2,01:00-02:00,0,0.0,0.0,0.0,0.0,0.0,53.69565217391305,7.5839348660790895
T3,3,02:00-03:00,1,18.28767307298358,18.28767307298358,0.0,18.28767307298358,18.28767307298358,75.8695652173913,5.788326692397432
T4,4,03:00-04:00,2,16.39450621929599,16.39450621929599,7.559001618948415,12.615005409821784,20.1740070287702,128.2608695652174,24.249101088322476
T5,5,04:00-05:00,0,0.0,0.0,0.0,0.0,0.0,301.7826086956522,77.08716496207626
T6,6,05:00-06:00,3,13.662452481084339,7.346083984488985,13.132246844279484,4.520928910468598,19.645791803402403,689.125,152.1943145291571
T7,7,06:00-07:00,41,67.36216457156824,17.565691575000926,116.25403851324859,9.515917404439563,35.69743310882632,1348.5833333333333,233.20357999443797
T8,8,07:00-08:00,139,58.22055409445097,20.287090739783878,102.02882685465745,8.927109347134973,40.59873036110801,2172.625,241.1551735052212
T9,9,08:00-09:00,368,44.94632988566432,23.345803419276876,76.44096323127833,10.536486957493267,39.82281107613848,3027.2916666666665,250.43852857981383
T10,10,09:00-10:00,455,47.499901462852335,24.37026347829601,82.2896950615703,10.677052585426793,42.13201184023228,3786.3333333333335,183.5482830816519
T11,11,10:00-11:00,696,43.32017828457602,20.20846948180497,84.31885605047982,8.918541261968159,39.725452656715845,4198.75,59.5232797595473
T12,12,11:00-12:00,739,41.27416137332248,21.394791164940216,79.32038074313,8.87430765318311,38.58703039458237,4282.083333333333,12.24035901797365
T13,13,12:00-13:00,738,45.92126464506609,22.82749864965939,81.64650657891336,9.617178174529244,41.78609939048991,4188.833333333333,52.62260815361482
T14,14,13:00-14:00,639,37.08403253656149,20.626015723292085,60.75150511576035,8.266321342612741,39.52555965670564,3975.7916666666665,71.98783413806036
T15,15,14:00-15:00,596,45.15392211873806,22.05537054060727,77.61932365656351,10.93001444630653,40.87649328009891,3665.25,106.76931909495349
T16,16,15:00-16:00,557,38.119176039947014,20.64301748440448,63.314583741267725,9.94868772987536,37.37998303237532,3270.5416666666665,117.52552175544207
T17,17,16:00-17:00,402,40.3718602893461,21.74651669197266,64.14350420322813,9.619571021658913,38.524451581225236,2900.0833333333335,105.36125025622825
T18,18,17:00-18:00,307,35.32188829563204,19.71644418511073,57.77005545508277,7.364412529173137,35.32106403041678,2571.1666666666665,99.18277180146875
T19,19,18:00-19:00,246,31.295899603207417,16.834044784153775,49.16301139986021,8.989814884786256,33.1169583976162,2253.0416666666665,94.49492013095495
T20,20,19:00-20:00,216,26.28355611054031,17.80332595129653,31.597151349432863,6.996382438225396,33.29007616190802,1913.5416666666667,105.04403012017812
T21,21,20:00-21:00,126,27.791527227725528,14.929263643184754,37.943280870358244,4.7386042077546335,31.70926606034459,1591.0416666666667,89.43968133452971
T22,22,21:00-22:00,113,23.543603137108445,16.392178512688588,22.454263805949108,8.493128475438198,32.21748732925266,1305.0833333333333,81.73224407920182
T23,23,22:00-23:00,63,22.77613177644249,13.221631967900294,21.313363210526266,5.557636865568156,33.26792180881773,1048.2916666666667,69.27149435774831
T24,24,23:00-24:00,34,10.52442877514455,8.890585771043675,8.028171990227337,4.31198841522388,14.10061681967943,830.25,56.094600156045914
