Hour,Hour_Number,Median_SoC,Mean_SoC,Std_SoC,Min_SoC,Max_SoC,Sample_Count
T1,1,0.7042974546433122,0.7048687253295345,0.030389430454170228,0.6469734018824443,0.7646298104494883,83
T2,2,0.5996722498873119,0.5997183172949451,0.03443932352099907,0.5327607841365585,0.6675098118062317,88
T3,3,0.5434569691694126,0.5434293317159546,0.01611066651737326,0.5110643793819846,0.5759634133648331,92
T4,4,0.5929414290023434,0.5902829495648737,0.020088212866137177,0.5229819252953581,0.6225308838810047,106
T5,5,0.6096676676398453,0.6086308908818784,0.013148328235068129,0.5858234137101711,0.6364510175819368,115
T6,6,0.599597007472139,0.5991431486124483,0.0064752555746595015,0.5876938065484234,0.6112319705354645,118
T7,7,0.5844606985554155,0.5835284553860354,0.006956991869265781,0.5675039661496634,0.594387494456065,118
T8,8,0.5632796082290336,0.5630280781929796,0.005957031139626698,0.5501779681048437,0.5728014940488798,119
T9,9,0.5476818863932889,0.5473223839818255,0.003297776550973343,0.539312188144212,0.554605523231538,119
T10,10,0.5344058988596219,0.5350191246582486,0.004359075518913071,0.5250605624215149,0.5435096087442474,118
T11,11,0.5176435075110627,0.5189948280602535,0.0056000190657339,0.5100677796665831,0.5309222481541326,120
T12,12,0.5066932759155557,0.5071244603458875,0.0033065968907069368,0.5009841532310991,0.5151794268706212,119
T13,13,0.5007320882464116,0.5004649161209744,0.0023073751215881458,0.4952825479250076,0.5045708645541568,119
T14,14,0.4982770998073909,0.4982851661582281,0.0027732267979857436,0.49335748911246924,0.504582604781366,118
T15,15,0.495560182961238,0.4964204143972751,0.0031474030463523183,0.49006482111714517,0.5044806470387393,120
T16,16,0.4928459486472534,0.4927271330883179,0.0032803940649425135,0.4863650336303943,0.49958330208143786,118
T17,17,0.4907976193621344,0.4903878975656087,0.00308328226447881,0.48312485259036514,0.49643628599953266,118
T18,18,0.4908566389067873,0.4910593577184061,0.004189361982593543,0.4813074151311947,0.4993878582794975,117
T19,19,0.4867965529501197,0.4872069130730184,0.004757063713285141,0.47790341294080224,0.4958165770293444,118
T20,20,0.4866794814408524,0.48612051542931173,0.006956049902936625,0.471925365390131,0.4971560632764318,117
T21,21,0.4815758392623295,0.4811108539586937,0.005156884055729087,0.467136116952467,0.4919800916138876,116
T22,22,0.4758155810703171,0.47575227974956025,0.006741183043177303,0.4634450568722706,0.4880692265223102,116
T23,23,0.4760028597477499,0.4768498395190379,0.005558279490825575,0.46471706653420464,0.4887992095144564,114
T24,24,0.4742740824707774,0.4741337129489458,0.0057228997233907865,0.4612350562821205,0.4875481931691449,111
