Hour,Hour_Number,Median_SoC,Mean_SoC,Std_SoC,Min_SoC,Max_SoC,Sample_Count
T1,1,0.7042974546433122,0.7049361485327993,0.03029529500451692,0.6469734018824443,0.7646298104494883,83
T2,2,0.5985503889735899,0.6003921865788248,0.03308696885961425,0.5408991966292671,0.6675098118062317,88
T3,3,0.5334819761285408,0.5350676287769498,0.014308027523164265,0.506719963512619,0.5756184058108031,92
T4,4,0.5826647336866428,0.5780633420774396,0.023573867937368057,0.505035122715651,0.6210799298051575,107
T5,5,0.6097591005303018,0.6107572582394071,0.010342274531170058,0.5818870344114299,0.6326090122572959,114
T6,6,0.6045687388355845,0.6039245210878482,0.006409163689792393,0.5893464779567082,0.6167533708181072,118
T7,7,0.5892318376914227,0.5874778933173198,0.0069450961112130115,0.5714239054476558,0.5996855878591048,118
T8,8,0.5626849352791374,0.561788202641732,0.007812222428898236,0.5468352993802341,0.5745317277233914,118
T9,9,0.5417218786741069,0.542550238399159,0.004108242015105969,0.5352487698518917,0.5533196700230816,120
T10,10,0.532559069849626,0.5332138262384052,0.004049269937226896,0.5249918173424375,0.5421207699414736,120
T11,11,0.5169231447666445,0.5160442299354626,0.006843911090282413,0.5038823034023863,0.5326404462499248,118
T12,12,0.50395937404217,0.503534337749878,0.002984235296175692,0.4967549589362757,0.5103933478944298,118
T13,13,0.49745671133490005,0.4978537060637719,0.0032085441026002176,0.492189844990305,0.5068579174125467,120
T14,14,0.4953364302206438,0.4956344628079587,0.0025557669973151507,0.4900805712781311,0.501308827622472,120
T15,15,0.4901080738062689,0.4904355863158385,0.0036304643364660637,0.48388520788628175,0.5005394389069052,117
T16,16,0.48442042548828934,0.48549696791945696,0.004338616631113546,0.47908796485873306,0.4951954501898823,119
T17,17,0.48371989858240505,0.48297789008276437,0.004873551177902459,0.4725300745720086,0.4919260342910465,118
T18,18,0.4822506492572872,0.4823888981529436,0.004862472086448439,0.4726359074764451,0.492564881444226,118
T19,19,0.4777329533345377,0.47996063376665676,0.006389674663551436,0.4687473640622204,0.49188675541568755,118
T20,20,0.4688391123952426,0.4678976140775187,0.005937819409793873,0.45253109230418376,0.48328967552649776,117
T21,21,0.46072540616320357,0.460403016995045,0.00897675475855981,0.4430019835974353,0.48152694999412654,116
T22,22,0.4567698796650407,0.45653091589773204,0.0068911399841462785,0.4383549234059892,0.46901976424214925,114
T23,23,0.4434112211020006,0.44318238827728157,0.006183698950077865,0.43215890403027457,0.4613122159580343,114
T24,24,0.4349701706153143,0.4355161230187831,0.011218025020842659,0.4153334273099109,0.45781641343872304,112
