Hour,Hour_Number,Time_Range,Sample_Count,Mean_Queue_Time,Median_Queue_Time,Std_Queue_Time,Q1_Queue_Time,Q3_Queue_Time,Mean_Active_Drivers,Std_Active_Drivers
T1,1,00:00-01:00,0,0.0,0.0,0.0,0.0,0.0,22.1,9.93931587182941
T2,2,01:00-02:00,0,0.0,0.0,0.0,0.0,0.0,53.73913043478261,7.628421634595238
T3,3,02:00-03:00,1,21.173205663621843,21.173205663621843,0.0,21.173205663621843,21.173205663621843,75.95652173913044,5.915920016432926
T4,4,03:00-04:00,3,7.772228986470395,8.835504600347576,4.206887609413016,5.503341853529861,10.57275392634952,125.77272727272727,23.748553674969187
T5,5,04:00-05:00,2,13.240632122341708,13.240632122341708,7.766961925609564,9.357151159536926,17.12411308514649,293.4166666666667,77.34765492387098
T6,6,05:00-06:00,17,78.64000540392183,19.562494703434197,106.73123085221002,12.7676965001545,87.66119687221988,678.9583333333334,150.71177767698035
T7,7,06:00-07:00,71,73.51633664107065,16.921436065633372,115.53402463538605,6.082694246646213,63.79551055765435,1330.625,229.83922143170722
T8,8,07:00-08:00,198,67.92266866758087,17.100040966958773,113.1035843850248,7.229558061457155,53.36895806341883,2148.0,239.84699984226054
T9,9,08:00-09:00,390,31.781549041739247,11.557384798185154,74.40151761834929,4.390686811628456,24.815352017979762,2975.4583333333335,236.49823451889773
T10,10,09:00-10:00,662,29.959535063256464,10.46958472232842,65.42024088671643,3.9680734130287476,26.116764568467204,3655.5416666666665,163.71366751299524
T11,11,10:00-11:00,824,28.41372936729818,9.066931317610624,68.1347942155496,3.1717244925946204,24.797530831595452,4005.4583333333335,49.05267506013873
T12,12,11:00-12:00,1001,26.119797235332392,9.23841933034521,59.54894174111669,3.652101669587296,26.582176689160633,4019.3333333333335,37.50740667595609
T13,13,12:00-13:00,888,22.944386917989238,9.874226782940354,45.82677471507611,3.227078499636633,24.33179566990185,3838.75,73.86601045135713
T14,14,13:00-14:00,804,23.587751427715784,11.327119856142588,45.201395738507145,3.808503154908152,26.700584021137615,3546.875,104.35009682953502
T15,15,14:00-15:00,751,30.685146822568225,13.604080666378195,58.11858770681213,5.367234386131543,28.08603419042197,3191.25,123.5125668370092
T16,16,15:00-16:00,585,25.888452707925065,13.481099269669926,46.294680185022784,4.397352068116788,30.818198117469137,2798.7083333333335,134.55806651363895
T17,17,16:00-17:00,494,29.26602795282063,14.283253992942775,49.04741011294364,4.557045163380394,31.375782551957002,2422.2916666666665,108.59998433343452
T18,18,17:00-18:00,392,29.88455310428843,14.800741667859938,50.65695401786018,5.686509497695795,32.93280467892612,2094.9583333333335,92.1861699527405
T19,19,18:00-19:00,348,28.68156459060407,15.112857646789962,44.18202854201555,6.227096373733957,31.06166482322152,1810.875,83.86860382964136
T20,20,19:00-20:00,286,28.879325920916724,15.740164654955265,43.74104517616804,5.101667361327543,33.432936772104426,1532.0416666666667,82.66270781851323
T21,21,20:00-21:00,252,24.846710723127288,13.445597577321223,27.02725686007873,6.0021232249624745,33.5864770953562,1256.25,82.89262633069362
T22,22,21:00-22:00,163,25.6538672876489,16.092659133608322,26.360440711584413,7.630386684176756,32.68536989754318,1000.7083333333334,65.34936824909293
T23,23,22:00-23:00,106,21.372778614253804,15.785999643799187,17.96961039634002,8.640194102272858,27.854452493881183,793.75,56.59155561271192
T24,24,23:00-24:00,44,12.772381349854614,8.511546229328928,11.476145091148215,5.039044634026197,19.384234816372214,626.0,43.44344983232033
