Hour,Hour_Number,Median_SoC,Mean_SoC,Std_SoC,Min_SoC,Max_SoC,Sample_Count
T1,1,0.7042974546433122,0.7049361485327993,0.03029529500451692,0.6469734018824443,0.7646298104494883,83
T2,2,0.5986863473657232,0.6001659344100578,0.03383080319316162,0.532777297032987,0.6675098118062317,88
T3,3,0.5205855572348568,0.5208219466298633,0.017922920869585142,0.4736299384260218,0.5587030743450008,91
T4,4,0.5714879881702224,0.5714785825822981,0.028375061667517954,0.47674595537936987,0.6124522369754564,106
T5,5,0.6043949140974243,0.6042166965290695,0.009725733715859886,0.5764732090418498,0.6215209359756387,114
T6,6,0.5959123833623206,0.5950997692584414,0.009287270027271964,0.5765281219507453,0.6075474894530485,119
T7,7,0.5756472285440112,0.574086722488642,0.007042959407824212,0.5559627859129848,0.583537822927095,117
T8,8,0.5488106044101969,0.5482869485104163,0.00779179258259428,0.5326707078525018,0.564308117400165,120
T9,9,0.527237465862709,0.5273832349633605,0.004907895336425994,0.5167627556472889,0.5369126268272523,120
T10,10,0.51076050806109,0.5121853433936824,0.005538931733109574,0.5042366020687792,0.5264393435726672,118
T11,11,0.4941311346182158,0.4950163479403003,0.0056862181466894165,0.4857581571334032,0.5094826858669499,118
T12,12,0.481562550694717,0.48256397798879436,0.0032267263288155122,0.4762048892489051,0.48982101199568595,120
T13,13,0.475453206572599,0.47576872197230496,0.0034036058666899486,0.4690975318883255,0.4846901075649212,119
T14,14,0.4757173749639676,0.47533537745466387,0.003603729725588975,0.4673271747496676,0.4824845526221742,119
T15,15,0.47190213355938365,0.47177098786098665,0.002737759873011613,0.46613005692872994,0.4777536936213678,118
T16,16,0.47187352793519577,0.4719627547507268,0.00269668970308995,0.46611059255651843,0.4785643245495434,118
T17,17,0.47118024874649256,0.4712231900328193,0.0022411443164443833,0.4659052029863267,0.4763524869385346,118
T18,18,0.47503687218904184,0.47606137309841295,0.004047627474260002,0.469005224586846,0.48449884078668487,119
T19,19,0.47749858798369105,0.4757618751960654,0.005901734524020833,0.4624142959690091,0.4852896047423925,117
T20,20,0.4696692197086199,0.4697410616651626,0.005785267288150624,0.454032077965227,0.48386229671588143,116
T21,21,0.4670791652003574,0.4668693672809487,0.007844357263142046,0.4507374867536429,0.48265149472298635,118
T22,22,0.4660619752863942,0.46520835031313995,0.005429175662137213,0.4518196014295425,0.4765876647666768,116
T23,23,0.46349909722386506,0.4638549702004812,0.00562717290421714,0.4513281642156236,0.47813454326359733,113
T24,24,0.4657962478203189,0.46409701243698737,0.008571370943913009,0.44181973484629067,0.48260655050136275,113
